2 &    0.000 & 0 \\ 
3 &    0.000 & 1 \\ 
4 &    0.003 & 1 \\ 
5 &    0.001 & 1 \\ 
6 &    0.002 & 1 \\ 
7 &    0.002 & 1 \\ 
8 &    0.002 & 1 \\ 
9 &    0.005 & 7 \\ 
10 &    0.005 & 8 \\ 
11 &    0.008 & 9 \\ 
12 &    0.014 & 24 \\ 
13 &    0.041 & 36 \\ 
14 &    0.021 & 37 \\ 
15 &    0.015 & 2 \\ 
16 &    0.189 & 380 \\ 
17 &    0.043 & 46 \\ 
18 &    5.552 & 24377 \\ 
19 &    0.205 & 645 \\ 
20 &    1.108 & 3242 \\ 
21 &    4.833 & 13355 \\ 
22 &   16.394 & 50838 \\ 
23 &  152.066 & 427454 \\ 
