2 &    0.001 & 0 \\ 
3 &    0.001 & 1 \\ 
4 &    0.001 & 1 \\ 
5 &    0.002 & 1 \\ 
6 &    0.001 & 1 \\ 
7 &    0.003 & 1 \\ 
8 &    0.002 & 0 \\ 
9 &    0.017 & 43 \\ 
10 &    0.009 & 75 \\ 
11 &    0.017 & 115 \\ 
12 &    0.031 & 248 \\ 
13 &    0.052 & 333 \\ 
14 &    0.096 & 576 \\ 
15 &    0.018 & 43 \\ 
16 &    0.727 & 5066 \\ 
17 &    0.444 & 2800 \\ 
18 &  201.954 & 1043825 \\ 
19 &    4.021 & 17171 \\ 
20 &   61.582 & 262777 \\ 
21 &   96.456 & 319690 \\ 
