2 &    0.000 & 0 \\ 
3 &    0.000 & 1 \\ 
4 &    0.002 & 1 \\ 
5 &    0.001 & 1 \\ 
6 &    0.001 & 1 \\ 
7 &    0.003 & 1 \\ 
8 &    0.002 & 0 \\ 
9 &    0.004 & 4 \\ 
10 &    0.008 & 7 \\ 
11 &    0.007 & 6 \\ 
12 &    0.019 & 14 \\ 
13 &    0.026 & 21 \\ 
14 &    0.024 & 30 \\ 
15 &    0.030 & 1 \\ 
16 &    0.089 & 217 \\ 
17 &    0.082 & 30 \\ 
18 &    2.602 & 9886 \\ 
19 &    4.253 & 15029 \\ 
20 &    0.470 & 1008 \\ 
