2 &    0.000 & 0 \\ 
3 &    0.000 & 1 \\ 
4 &    0.001 & 1 \\ 
5 &    0.001 & 1 \\ 
6 &    0.001 & 1 \\ 
7 &    0.002 & 1 \\ 
8 &    0.002 & 0 \\ 
9 &    0.010 & 4 \\ 
10 &    0.006 & 7 \\ 
11 &    0.006 & 6 \\ 
12 &    0.012 & 14 \\ 
13 &    0.018 & 21 \\ 
14 &    0.028 & 30 \\ 
15 &    0.019 & 1 \\ 
16 &    0.069 & 215 \\ 
17 &    0.026 & 25 \\ 
18 &    2.756 & 9886 \\ 
19 &    3.322 & 15029 \\ 
20 &    0.369 & 1002 \\ 
