2 &    0.000 & 0 \\ 
3 &    0.000 & 1 \\ 
4 &    0.004 & 1 \\ 
5 &    0.001 & 1 \\ 
6 &    0.001 & 1 \\ 
7 &    0.001 & 1 \\ 
8 &    0.003 & 0 \\ 
9 &    0.006 & 43 \\ 
10 &    0.010 & 75 \\ 
11 &    0.018 & 115 \\ 
12 &    0.038 & 248 \\ 
13 &    0.074 & 333 \\ 
14 &    0.117 & 569 \\ 
15 &    0.016 & 41 \\ 
16 &    0.815 & 5054 \\ 
17 &    0.504 & 2800 \\ 
18 &  231.304 & 1043794 \\ 
19 &    4.317 & 17171 \\ 
20 &   65.776 & 245832 \\ 
21 &  110.422 & 319606 \\ 
