2 &    0.000 & 0 \\ 
3 &    0.002 & 1 \\ 
4 &    0.001 & 1 \\ 
5 &    0.001 & 1 \\ 
6 &    0.001 & 1 \\ 
7 &    0.002 & 1 \\ 
8 &    0.002 & 0 \\ 
9 &    0.004 & 5 \\ 
10 &    0.005 & 5 \\ 
11 &    0.012 & 6 \\ 
12 &    0.016 & 5 \\ 
13 &    0.014 & 7 \\ 
14 &    0.018 & 10 \\ 
15 &    0.015 & 5 \\ 
16 &    0.071 & 180 \\ 
17 &    0.088 & 332 \\ 
18 &    7.648 & 31175 \\ 
19 &  160.370 & 621130 \\ 

